episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/allreduce_latency,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
nan,nan,nan,nan,0,8,3200,False,0,1,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-07,1617635947,1.7509818077087402,1.7509818077087402,9425,5e08ae53878a,172.17.0.3,1.7509818077087402,0,1,1bd20_00002,[],[],994.054,3219.142,752.97,4249.839,1.39,3200,3200,38.9,60.03333333333334,0.0,1.0,0.00948841002614332,0.034314832836389544,0.011708804070949555,0.004277544384822249,0.0017989326,0.018328482806682585,-3.2280809020996095,0.0
nan,nan,nan,nan,0,8,6400,False,0,2,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-09,1617635949,1.9692671298980713,3.7202489376068115,9425,5e08ae53878a,172.17.0.3,3.7202489376068115,0,2,1bd20_00002,[],[],1110.756,2880.92,745.073,4294.883,1.453,6400,6400,56.73333333333334,57.5,0.0,1.0,0.00948841002614332,0.0005782660096883774,-0.005102051310241222,0.0016826030425727367,0.0011706471,0.003997717341408133,-3.2359749031066896,0.0
0.010219069125371849,-0.4278388352577877,-0.22366546610402593,1000.0,8,8,9600,False,8,3,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-11,1617635951,1.6978645324707031,5.418113470077515,9425,5e08ae53878a,172.17.0.3,5.418113470077515,0,3,1bd20_00002,"[-0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1001.811,3194.214,799.368,4003.16,1.508,9600,9600,35.0,52.15,0.0,0.5,0.00948841002614332,-0.0014164837077260018,-0.006139869503676891,0.0026550818560644985,0.000517633,0.00413661046884954,-3.232585277557373,0.0
0.010219069125371849,-0.4278388352577877,-0.22366546610402593,1000.0,0,8,12800,False,8,4,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-13,1617635953,2.0500636100769043,7.468177080154419,9425,5e08ae53878a,172.17.0.3,7.468177080154419,0,4,1bd20_00002,"[-0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1035.155,3091.324,826.845,3870.132,1.559,12800,12800,69.3,56.56666666666666,0.0,0.25,0.00948841002614332,0.0024806345999240876,-0.0028981589525938034,0.004282594285905361,-0.001479919,0.0043848061095923185,-3.2386472606658936,0.0
0.1698733928926761,-0.5478833356625923,-0.20709871322733175,1000.0,8,8,16000,False,16,5,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-15,1617635955,2.2473502159118652,9.715527296066284,9425,5e08ae53878a,172.17.0.3,9.715527296066284,0,5,1bd20_00002,"[-0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923, -0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1072.787,2982.884,865.157,3698.751,1.54,16000,16000,64.03333333333333,59.666666666666664,0.0,0.125,0.00948841002614332,-0.0014031137526035308,-0.00429748922586441,0.0022878415137529374,-0.0019772672,0.004852283783257008,-3.2612555027008057,0.0
0.1698733928926761,-0.5478833356625923,-0.20709871322733175,1000.0,0,8,19200,False,16,6,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-17,1617635957,1.9380669593811035,11.653594255447388,9425,5e08ae53878a,172.17.0.3,11.653594255447388,0,6,1bd20_00002,"[-0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323, -0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1073.364,2981.283,863.855,3704.325,1.564,19200,19200,61.099999999999994,60.1,0.0,0.0625,0.00948841002614332,-0.0005047674477100373,-0.0037018967419862746,0.002791794687509537,-0.0029918575,0.006485331412404776,-3.2518456554412842,0.0
0.1698733928926761,-0.5478833356625923,-0.20709871322733175,1000.0,0,8,22400,False,16,7,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-18,1617635958,1.54671311378479,13.200307369232178,9425,5e08ae53878a,172.17.0.3,13.200307369232178,0,7,1bd20_00002,"[-0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323, -0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1027.322,3114.896,853.362,3749.873,1.555,22400,22400,24.900000000000002,60.20000000000001,0.0,0.0625,0.00948841002614332,-0.0022946631908416747,-0.0044768000394105915,0.0017895824322476982,-0.0009511566,0.006280853189527988,-3.260977602005005,0.0
0.1698733928926761,-0.5478833356625923,-0.20954141625138903,1000.0,8,8,25600,False,24,8,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-20,1617635960,1.9772465229034424,15.17755389213562,9425,5e08ae53878a,172.17.0.3,15.17755389213562,0,8,1bd20_00002,"[-0.2907170040334036, -0.3944307209018136, -0.10788341150741432, -0.0529088118911798, 0.04312596893902221, -0.4716491380430813, -0.08751844491562344, -0.3534330160425353, -0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323, -0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1026.278,3118.064,865.81,3695.961,1.536,25600,25600,57.95,60.25,0.0,0.0625,0.00948841002614332,0.0007553862407803536,-0.0017905917391180992,0.002264016666449606,-0.0017608381,0.0045113977883011105,-3.2669343757629394,0.0
0.1698733928926761,-0.5478833356625923,-0.20954141625138903,1000.0,0,8,28800,False,24,9,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-22,1617635962,1.8679120540618896,17.04546594619751,9425,5e08ae53878a,172.17.0.3,17.04546594619751,0,9,1bd20_00002,"[-0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323, -0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923, -0.2907170040334036, -0.3944307209018136, -0.10788341150741432, -0.0529088118911798, 0.04312596893902221, -0.4716491380430813, -0.08751844491562344, -0.3534330160425353]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1027.755,3113.583,861.06,3716.35,1.564,28800,28800,55.53333333333333,60.333333333333336,0.0,0.03125,0.00948841002614332,0.0006287761777639389,-0.0041040021926164625,0.004527592118829488,-0.00013222932,0.006566017270088196,-3.275215196609497,0.0
0.1698733928926761,-0.554738574324922,-0.22460925555197914,1000.0,8,8,32000,False,32,10,17dc7b57017a414fa3c6ff228f6081c9,2021-04-05_08-19-24,1617635964,1.6012251377105713,18.64669108390808,9425,5e08ae53878a,172.17.0.3,18.64669108390808,0,10,1bd20_00002,"[-0.30801552994483783, -0.09809286994057398, -0.22045967006048361, -0.09979644211542893, -0.554738574324922, -0.15462934206190015, -0.19761895669976426, -0.5251508024820842, -0.4278388352577877, 0.010219069125371849, -0.4116206996467658, -0.1161154288627484, -0.17719040828185612, -0.38503772009608295, -0.019034527432125192, -0.26270517838021323, -0.2806734132797717, -0.22438518374933292, 0.1698733928926761, -0.3008065967597665, -0.10395890354624615, -0.28064152391211883, 0.04421988121205156, -0.5478833356625923, -0.2907170040334036, -0.3944307209018136, -0.10788341150741432, -0.0529088118911798, 0.04312596893902221, -0.4716491380430813, -0.08751844491562344, -0.3534330160425353]","[1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]",1005.112,3183.726,854.383,3745.394,1.564,32000,32000,31.8,60.4,0.0,0.03125,0.00948841002614332,-0.0015841402858495712,-0.0037795075960457324,0.0020169418258592486,-0.0003262782,0.005709599629044533,-3.291006145477295,0.0
